CodigoOrganismo;NombreOrganismo;CodigoOC;Correlativo;CodigoCategoria;Categoria;CodigoProducto;Producto;EspecificacionComprador;EspecificacionProveedor;Cantidad;Unidad;PrecioNeto;TotalImpuestos;TotalLinea
7327;Hospital Purranque;1057534-1144-AG24;1;80141600;Servicios profesionales, administrativos y consultorías de gestión empresarial / Servicios para la comercialización y distribución / Ventas y marketing;80141607;Producción de eventos;Conversatorios para referidos al área intercultural a realizarse con fecha 1°conversatorio 16-10-2024 desde las 10.00hrs.en dependencias del Hospital Purranque. 2° conversatorio con fecha 23-11-24 desde las10.00 hrs. aprox.en ruka de la localidad de hueyusca de la comuna de Purranque. Esto debe ser relatado por el cultor mapuche y maestro de ceremonia de la comunidad indígena con previa coordinación con encargada. Ademas debe adjuntar certificado que acredite pueblo originario(excluyente).;;2.0;;191562.0;0.0;0.0
7327;Hospital Purranque;1057534-1144-AG24;2;80141600;Servicios profesionales, administrativos y consultorías de gestión empresarial / Servicios para la comercialización y distribución / Ventas y marketing;80141607;Producción de eventos;Se debe realizar un cóctel saludable con pertinencia intercultural para 30 personas aprox.para el día 23 de noviembre a realizarse en ruka de la localidad de Hueyusca.;;1.0;;350000.0;0.0;0.0
7327;Hospital Purranque;1058125-55-SE24;1;51152000;Medicamentos y productos farmacéuticos / Medicamentos para el sistema nervioso autónomo / Agentes bloqueadores neuromusculares;51152003;Bromuro de rocuronio;ROCURONIO AM 50 MG/5 ML. ADJUNTAR FICHA TÉCNICA;ROCUREM 10mgmL Sol Inj - 25fa x 5mL DESP 2 DIAS HABILES V: 30-06-2025 PRESENT 25 FRASCOS AMP X CAJA , VALOR UNITARIO MAS IVA;25.0;;2000.0;0.0;50000.0
