CodigoOrganismo;NombreOrganismo;CodigoOC;Correlativo;CodigoCategoria;Categoria;CodigoProducto;Producto;EspecificacionComprador;EspecificacionProveedor;Cantidad;Unidad;PrecioNeto;TotalImpuestos;TotalLinea
7296;Servicio de Salud Osorno;1057532-1965-SE23;1;42291600;Equipamiento y suministros médicos / Productos quirúrgicos / Instrumentos quirúrgicos de corte, trampas y productos relacionados;42291614;Tijeras quirúrgicas;Tijera de yeso Bruns, tijera para cortar yeso y fieltros de descarga 23,5 cms. punta roma.;Tijera de Yeso Bruns 23.5cm - Código: JO-21-132, Marca Surgicon® 100% Autoclavables, Excelente Calidad. Acero Inoxidable Certificado Alemán. Certificado CE - ISO 13485:2016 - ISO 9001:2015 – AISI Acero Quirúrgico - FDA. 36 Meses de Garantía. Entrega 15 dí;15.0;;66890.0;0.0;1003350.0
7296;Servicio de Salud Osorno;1057532-137-AG24;1;44103100;Equipos, accesorios y suministros de oficina / Maquinarias, suministros y accesorios de oficina / Suministros para impresora, fax y fotocopiadora;44103101;Cintas de cartuchos para impresoras, fax o fotocopiadoras;Rollo de Transferencia Térmica 110 x 74mm / Según Especificaciones adjuntas;CINTAS TT 110 x 74 MTS CERA NEGRA OUT;50.0;;1300.0;0.0;0.0
7296;Servicio de Salud Osorno;1057532-137-AG24;2;44103100;Equipos, accesorios y suministros de oficina / Maquinarias, suministros y accesorios de oficina / Suministros para impresora, fax y fotocopiadora;44103101;Cintas de cartuchos para impresoras, fax o fotocopiadoras;Rollo Térmico para Impresora Epson 80x80 mts 48 grs / Según Especificaciones adjuntas;ROLLOS TERMICOS 80 x 80 MTS BLANCO 48 GRS;40.0;;1500.0;0.0;0.0
7296;Servicio de Salud Osorno;1057532-137-AG24;3;55121600;Productos impresos y publicaciones / Etiquetado y accesorios / Etiquetas;55121612;Etiquetas de impresora;Etiqueta Blanca Autoadhesiva 70x100mm / Según Especificaciones adjuntas;"ROLLOS ETIQ.MATTE 70 x 100 1"" 700 UNID";60.0;;3200.0;0.0;0.0
