CodigoOrganismo;NombreOrganismo;CodigoOC;Correlativo;CodigoCategoria;Categoria;CodigoProducto;Producto;EspecificacionComprador;EspecificacionProveedor;Cantidad;Unidad;PrecioNeto;TotalImpuestos;TotalLinea
1238663;Hospital Pü Mulen de Quilacahuín;1057533-289-SE24;1;15101500;Combustibles, lubricantes y anticorrosivos / Combustibles líquidos / Petróleo y derivados;15101508;Petróleo crudo;Petróleo Crudo Refinado;COTIZACIÓN SEGÚN ADJUNTOS;5300.0;;847.0588;0.0;4489411.64
1238663;Hospital Pü Mulen de Quilacahuín;1057533-297-CM24;1;0;;0;ESTACIÓN DE SERVICIO DIESEL REGIÓN DE LOS LAGOS DESCUENTO PESOS POR LITRO;(1944435) ESTACIÓN DE SERVICIO DIESEL REGIÓN DE LOS LAGOS DESCUENTO PESOS POR LITRO;(1944435) ESTACIÓN DE SERVICIO DIESEL REGIÓN DE LOS LAGOS DESCUENTO PESOS POR LITRO , Región Metropolitana de Santiago, Santiago, Direccion no aplica a productos virtuales, Descuento $50;1.0;;2510432.0;0.0;2510432.0
1238663;Hospital Pü Mulen de Quilacahuín;1057533-184-CC24;1;78180100;Servicios de transporte, almacenaje y correo / Servicios de mantención o reparaciones de transportes / Mantención o reparación de vehículos;78180103;Servicios de cambio de fluidos de aceite o de la t;SERVICIOS CORRECTIVOS DE AMB. FORD TRANSIT, PPU: KX.SL-71 , PPTO N°23709;;1.0;;1250633.613;0.0;1250633.613
1238663;Hospital Pü Mulen de Quilacahuín;1057533-256-CC24;1;12141900;Productos químicos industriales / Metales y gases / Elementos no metálicos y gases puros;12141904;Oxígeno O;recarga CILINDROS DE 10 m3 OXÍGENO (COMODATO);;26.0;;31100.0;0.0;808600.0
1238663;Hospital Pü Mulen de Quilacahuín;1057533-256-CC24;2;78121600;Servicios de transporte, almacenaje y correo / Manejo, manipulación y embalaje de material / Servicios de manipulación de materiales;78121601;Servicios de flete;Flete por  CILINDROS;Flete por  CILINDROS;28.0;;8133.0;0.0;227724.0
1238663;Hospital Pü Mulen de Quilacahuín;1057533-256-CC24;3;12141900;Productos químicos industriales / Metales y gases / Elementos no metálicos y gases puros;12141904;Oxígeno O;recarga CILINDROS DE 6 m3 OXÍGENO (COMODATO);;2.0;;18660.0;0.0;37320.0
