CodigoOrganismo;NombreOrganismo;CodigoOC;Correlativo;CodigoCategoria;Categoria;CodigoProducto;Producto;EspecificacionComprador;EspecificacionProveedor;Cantidad;Unidad;PrecioNeto;TotalImpuestos;TotalLinea
7470;Hospital Río Negro;1057531-421-CM24;1;0;;0;ALIMENTACIÓN -;(1964920) ALIMENTACIÓN -;(1964920) ALIMENTACIÓN -   , Región Metropolitana de Santiago, Santiago, Direccion no aplica a productos virtuales, DESCUENTO 5,0%;1.0;;10614773.0;0.0;10614773.0
7470;Hospital Río Negro;1057531-420-AG24;1;42271800;Equipamiento y suministros médicos / Productos de resucitación, anestesia y respiratorios / Productos para terapia respiratoria en aerosol y humidificación;42271802;Nebulizadores o accesorios;MASCARILLA PARA AEROSOL ADULTO CON NEBULIZADOR, MATERIAL PVC GRADO MEDICO, NO ESTERIL, CON CONECTOR UNIVERSAL PARA RED DE OXIGENO LARGO MINIMO 1.5 M, CON PINZA O CLIP DE AJUSTE NASAL. DESECHABLE, LIBRE DE LATEX. ROTULO DEBE SEÑALAR DESECHABLE. CARACTERISTICA LIBRE DE LATEX RESPALDADO EN ROTULO DE ORIGEN O EN CERTIFICADO EMITIDO POR EL FABRICANTE. VENCIMIENTO SUPERIOR 2026, ESPECIFICAR EN DOCUMENTO DISPOSITIVO MÉDICO SEGUN INDICA NORMA 226 DE TRAZABILIDAD;;300.0;;480.0;0.0;0.0
7470;Hospital Río Negro;1057531-420-AG24;2;42271800;Equipamiento y suministros médicos / Productos de resucitación, anestesia y respiratorios / Productos para terapia respiratoria en aerosol y humidificación;42271802;Nebulizadores o accesorios;MASCARILLA PARA AEROSOL PEDIATRICA CON NEBULIZADOR, MATERIAL PVC GRADO MEDICO, NO ESTERIL, CON CONECTOR UNIVERSAL PARA RED DE OXIGENO LARGO MINIMO 1.5 M, CON PINZA O CLIP DE AJUSTE NASAL. DESECHABLE, LIBRE DE LATEX. ROTULO DEBE SEÑALAR DESECHABLE. CARACTERISTICA LIBRE DE LATEX RESPALDADO EN ROTULO DE ORIGEN O EN CERTIFICADO EMITIDO POR EL FABRICANTE. VENCIMIENTO SUPERIOR 2026, ESPECIFICAR EN DOCUMENTO DISPOSITIVO MÉDICO SEGUN INDICA NORMA 226 DE TRAZABILIDAD;;200.0;;350.0;0.0;0.0
7470;Hospital Río Negro;1057531-417-AG24;1;42312100;Equipamiento y suministros médicos / Productos para el cuidado de heridas / Suministros de ostomía y productos no quirúrgicos de drenaje de heridas;42312113;Bolsas de Ostomía;Bolsa para ostomía drenable ARO 19-64MM, recortable, de un pieza compuesta por una barrera protectora de piel Stomahesive junto con una bolsa drenable, los cuales forman una sola pieza para la recolección de efluentes.;;90.0;;2050.0;0.0;0.0
7470;Hospital Río Negro;1057531-412-CC24;1;78180100;Servicios de transporte, almacenaje y correo / Servicios de mantención o reparaciones de transportes / Mantención o reparación de vehículos;78180103;Servicios de cambio de fluidos de aceite o de la t;Mant Correctiva AMB. FORD TRANSIT, PPU: KX.SL-70, HRN Ppto NRO. 24595;Mant Correctiva AMB. FORD TRANSIT, PPU: KX.SL-70, HRN Ppto NRO. 24595;1.0;;943800.0;0.0;943800.0
7470;Hospital Río Negro;1057531-370-CC24;1;70141600;Servicios agrícolas, pesqueros, forestales y relacionados con la fauna / Producción, administración y protección de cultivos / Protección de cultivos;70141605;Servicios integrados de gestión de plagas;CONVENIO POR EL SERVICIO DE DESRATIZACION SANITIZACION DESINSECTACION Y OTRAS DE PLAGAS.    Casa Administrativa N°2;CONVENIO POR EL SERVICIO DE DESRATIZACION SANITIZACION DESINSECTACION Y OTRAS DE PLAGAS.    Casa Administrativa N°2;1.0;;38000.0;0.0;38000.0
7470;Hospital Río Negro;1057531-370-CC24;2;70141600;Servicios agrícolas, pesqueros, forestales y relacionados con la fauna / Producción, administración y protección de cultivos / Protección de cultivos;70141605;Servicios integrados de gestión de plagas;CONVENIO POR EL SERVICIO DE DESRATIZACION SANITIZACION DESINSECTACION Y OTRAS DE PLAGAS.    Hospital Rio Negro;CONVENIO POR EL SERVICIO DE DESRATIZACION SANITIZACION DESINSECTACION Y OTRAS DE PLAGAS.    Hospital Rio Negro;1.0;;38000.0;0.0;38000.0
7470;Hospital Río Negro;1057531-370-CC24;3;70141600;Servicios agrícolas, pesqueros, forestales y relacionados con la fauna / Producción, administración y protección de cultivos / Protección de cultivos;70141605;Servicios integrados de gestión de plagas;CONVENIO POR EL SERVICIO DE DESRATIZACION SANITIZACION DESINSECTACION Y OTRAS DE PLAGAS.    Casa Administrativa N°1;CONVENIO POR EL SERVICIO DE DESRATIZACION SANITIZACION DESINSECTACION Y OTRAS DE PLAGAS.    Casa Administrativa N°1;1.0;;38000.0;0.0;38000.0
