CodigoOrganismo;NombreOrganismo;CodigoOC;Correlativo;CodigoCategoria;Categoria;CodigoProducto;Producto;EspecificacionComprador;EspecificacionProveedor;Cantidad;Unidad;PrecioNeto;TotalImpuestos;TotalLinea
7470;Hospital Río Negro;1058123-1-AG26;1;51102300;Medicamentos y productos farmacéuticos / Medicamentos anti infecciosos / Medicamentos antivirales;51102301;Aciclovir;ACICLOVIR 400MG/5ML FC(100005329). Obligación adjuntar ficha Técnica en formato PDF, considerar Vigencia mínima 12 meses y entrega en Hospital Río Negro;ACICLOVIR 400MG/5ML FC(100005329);2.0;;36875.0;0.0;0.0
7470;Hospital Río Negro;1058123-1-AG26;2;51211600;Medicamentos y productos farmacéuticos / Medicamentos varios / Antídotos y eméticos;51211618;Antídoto de carbón activado;NO;NO;10.0;;1.0;0.0;0.0
7470;Hospital Río Negro;1058123-1-AG26;3;51131700;Medicamentos y productos farmacéuticos / Medicamentos hematólicos / Trombolíticos / inhibidores de agregación de plaquetas;51131709;Bisulfato de clopidogrel;CLOPIDOGREL 75MG CM(100000397). Obligación adjuntar ficha Técnica en formato PDF, considerar Vigencia mínima 12 meses y entrega en Hospital Río Negro;CLOPIDOGREL 75MG CM(100000397).;200.0;;68.0;0.0;0.0
7470;Hospital Río Negro;1058123-1-AG26;4;51191900;Medicamentos y productos farmacéuticos / Agentes que afectan el agua y los electrolitos / Suplementos dietéticos y productos de terapia alimenticia;51191905;Suplementos vitamínicos;NO;NO;10.0;;1.0;0.0;0.0
7470;Hospital Río Negro;1058123-1-AG26;5;51241200;Medicamentos y productos farmacéuticos / Medicamentos para los oídos, ojos, nariz y piel / Agentes dermatológicos;51241208;Cremas o ungüentos hidrofílicos;NO;NO;5.0;;1.0;0.0;0.0
7470;Hospital Río Negro;1058123-1-AG26;6;51161800;Medicamentos y productos farmacéuticos / Medicamentos para el tracto respiratorio / Productos para tos, resfriados y antialérgicos;51161812;Combinación clorfeniramina-acetaminofeno;PARACETAMOL 160MG CM(100002578). Obligación adjuntar ficha Técnica en formato PDF, considerar Vigencia mínima 12 meses y entrega en Hospital Río Negro;PARACETAMOL 160MG CM(100002578).;1000.0;;249.0;0.0;0.0
7470;Hospital Río Negro;1058123-1-AG26;7;51101600;Medicamentos y productos farmacéuticos / Medicamentos anti infecciosos / Amebicidas, tricomonacidas y antiprotozoarios;51101607;Óxido de calcio;PASTA LASAR CJ o Pote X 50 GR(100002311). Obligación adjuntar ficha Técnica en formato PDF, considerar Vigencia mínima 12 meses y entrega en Hospital Río Negro;PASTA LASAR CJ o Pote X 50 GR(100002311);10.0;;1755.0;0.0;0.0
7470;Hospital Río Negro;1058123-1-AG26;8;51191800;Medicamentos y productos farmacéuticos / Agentes que afectan el agua y los electrolitos / Sales de potasio;51191802;Cloruro potásico;POTASIO CLORURO 600MG CM(100001200). Obligación adjuntar ficha Técnica en formato PDF, considerar Vigencia mínima 12 meses y entrega en Hospital Río Negro;POTASIO CLORURO 600MG CM(100001200);150.0;;194.0;0.0;0.0
7470;Hospital Río Negro;1058123-1-AG26;9;51171600;Medicamentos y productos farmacéuticos / Medicamentos para el sistema gastrointestinal / Laxantes;51171630;Aceite mineral;VASELINA LIQUIDA 200-250ML FC(100001554). Obligación adjuntar ficha Técnica en formato PDF, considerar Vigencia mínima 12 meses y entrega en Hospital Río Negro;VASELINA LIQUIDA 200-250ML FC(100001554);10.0;;2477.0;0.0;0.0
