CodigoCompraAgil;Nombre;Descripcion;EstadoID;EstadoCodigo;EstadoGlosa;ConvocatoriaEstado;ConvocatoriaDescripcion;FechaCierrePrimerLlamado;FechaCierreSegundoLlamado;FechaPublicacion;FechaCierre;FechaUltimoCambio;FechaCancelacion;DireccionEntrega;PlazoEntregaDias;TipoPresupuesto;Moneda;PresupuestoEstimado;MontoDisponible;MontoDisponibleCLP;ValorCambioMoneda;FechaCambioMoneda;OC_ID;OC_Codigo;OrganismoComprador;RutComprador;UnidadCompra;Region;NombreRegion;MultaSancion;TotalOfertasRecibidas;TotalDemandas;MotivoCancelacion;MotivoDesierta;MotivoSeleccion;RequisitosMedioambientales;RequisitosImpactoSocial;TotalDocumentos;TotalProductosSolicitados;TotalProveedoresCotizando
1057532-302-COT25;F1-126-AVP/Compra de papelería y material de oficina para ejecución de capacitaciones//DAP;El oferente interesado en participar debe ofertar la totalidad del requerimiento, además deberá adjuntar un respaldo fotográfico de los Articulos de Oficina , como también debe indicar el plazo de entrega, ya sea en días corridos o hábiles. Las ofertas que cumplan con los requisitos antes mencionados, será sometidas a la correspondiente evaluación. se adjunta referencia del requerimiento y Logo para las bolsas ecologicas;5;cancelada;Cancelada;1;Primer llamado;2025-05-06 09:00;2025-05-12 02:41;2025-04-30 15:19;2025-05-06 09:00;2025-05-07 11:09;2025-05-07 11:09;Manuel Rodriguez #759,;5;Estimado;CLP;850000;850000;850000;;;;;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;1;1;0;sobre pasa presupuesto aprobado y disponible para este requerimiento;;;;;2;4;1
1057532-299-COT25;F1-159-NAM / ADQUISICIÓN 2 TERMOHIGRÓMETRO;SE REQUIERE LA COMPRA DE 2 TERMOHIGRÓMETRO, SEGUN EE.TT,  1) Serán desestimadas las ofertas que no adjunten el Formularios Anexo Proveedor.  2) Adjuntar cotización detallada + imagenes de productos ofertados (archivo proveedor), según especificaciones técnicas adjuntadas  3) Debe indicar en días habiles el plazo de envio, dado que se tomará como parte de evaluación de adjudicación;4;proveedor_seleccionado;Proveedor seleccionado;1;Primer llamado;2025-04-30 10:00;2025-05-01 10:08;2025-04-29 09:53;2025-04-30 10:00;2025-05-07 09:20;;Av. Manuel Rodriguez #759;3;Disponible;CLP;200000;200000;200000;;;52655124;;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;0;3;0;;;;;;2;1;3
1077241-30-COT25;F1-121-NAM / ADQUISICIÓN MATERIAL DE OFICINA;SE REQUIERE LA ADQUISICIÓN DE MATERIALES DE OFICINA;4;proveedor_seleccionado;Proveedor seleccionado;1;Primer llamado;2025-04-30 13:00;2025-05-01 15:14;2025-04-29 10:47;2025-04-30 13:00;2025-05-07 09:07;;Av. Manuel Rodriguez #759;3;Estimado;CLP;340000;340000;340000;;;52654909;;SERVICIO DE SALUD OSORNO;61.607.600-0;Administración de Fondos;10;Región de los Lagos ;0;4;0;;;;;;2;9;4
1057532-296-COT25;Contenedores de desechos biológicos, para Unidad SAFU;se requiere las compra de contenedores color negro y amarillos según especificaciones técnicas adjuntas. El Formulario Técnico, su presentación es OBLIGATORIA, con la información solicitada, en caso de no adjuntarse a la oferta, esta no será considerada.;4;proveedor_seleccionado;Proveedor seleccionado;1;Primer llamado;2025-05-05 11:00;2025-05-10 06:03;2025-04-30 15:56;2025-05-05 11:00;2025-05-07 02:48;;Avda.. Manuel Rodriguez 759, Contacto Cecilia Garay / José Luis Vallejos;7;Estimado;CLP;280000;280000;280000;;;52659914;;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;0;2;0;;;;;;1;2;2
