CodigoCompraAgil;Nombre;Descripcion;EstadoID;EstadoCodigo;EstadoGlosa;ConvocatoriaEstado;ConvocatoriaDescripcion;FechaCierrePrimerLlamado;FechaCierreSegundoLlamado;FechaPublicacion;FechaCierre;FechaUltimoCambio;FechaCancelacion;DireccionEntrega;PlazoEntregaDias;TipoPresupuesto;Moneda;PresupuestoEstimado;MontoDisponible;MontoDisponibleCLP;ValorCambioMoneda;FechaCambioMoneda;OC_ID;OC_Codigo;OrganismoComprador;RutComprador;UnidadCompra;Region;NombreRegion;MultaSancion;TotalOfertasRecibidas;TotalDemandas;MotivoCancelacion;MotivoDesierta;MotivoSeleccion;RequisitosMedioambientales;RequisitosImpactoSocial;TotalDocumentos;TotalProductosSolicitados;TotalProveedoresCotizando
1057532-182-COT25;ADQUISICION DE INSUMOS PARA CAFETERIA.;ADQUISICION DE INSUMOS PARA CAFETERIA.;4;proveedor_seleccionado;Proveedor seleccionado;1;Primer llamado;2025-04-01 09:10;2025-04-02 09:30;2025-03-31 08:50;2025-04-01 09:10;2025-04-01 10:49;;MANUEL RODRIGUEZ 759 OSORNO;1;Estimado;CLP;169500;169500;169500;;;52447216;;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;0;6;0;;;;;;0;9;6
1057532-179-COT25;ADQUISICION DE INSUMOS PARA CAFETERIA.;ADQUISICION DE INSUMOS PARA CAFETERIA.;5;cancelada;Cancelada;1;Primer llamado;2025-03-31 08:00;2025-04-03 07:30;2025-03-28 08:30;2025-03-31 08:00;2025-04-01 08:18;2025-04-01 08:18;A CONVENIR.;1;Disponible;CLP;218500;218500;218500;;;;;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;0;1;0;se cancelo por falta de presupuesto, nuevamente se subió otra publicación 1057532-186-cot25;;;;;2;14;1
1057532-185-COT25;ADQUISICIÓN: SET ESENCIAS FLORALES BACH 10 ml;SE REQUIERE LA ADQUISICIÓN: SET ESENCIAS FLORALES BACH 10 ml SEGÚN EETT  1) Serán desestimadas las ofertas que no adjunten el Formularios Anexo Proveedor.  2) Adjuntar cotización detallada + imagenes de productos ofertados (archivo proveedor), según especificaciones técnicas adjuntadas  3) Debe indicar en días corridos el plazo de envio, dado que se tomará como parte de evaluación de adjudicación;4;proveedor_seleccionado;Proveedor seleccionado;1;Primer llamado;2025-04-01 10:30;2025-04-02 10:56;2025-03-31 10:04;2025-04-01 10:30;2025-04-01 04:33;;Av. Manuel Rodrgiuez #759;3;Disponible;CLP;200000;200000;200000;;;52452592;;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;0;3;0;;;;;;2;1;3
1057532-188-COT25;ADQUISICION DE INSUMOS PARA CAFETERIA.;ADQUISICION DE INSUMOS PARA CAFETERIA.;4;proveedor_seleccionado;Proveedor seleccionado;1;Primer llamado;2025-04-01 14:30;2025-04-02 14:49;2025-03-31 14:10;2025-04-01 14:30;2025-04-01 03:54;;A CONVENIR.;1;Estimado;CLP;121800;121800;121800;;;52451825;;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;0;4;0;;;;;;2;8;4
1057532-170-COT25;Adquisición de Cintas de Seguridad  / Subdepto. de Prevención de Riesgos;Cintas de seguridad para demarcacion e instalacion de señaletica de zonas de peligro en lugares de trabajo de los centros de trabajo del SSO. De esta manera prevenir accidentes de trabajo por condiciones de peligro y dar cumplimiento a la normativa legal vigente de Prevención de Riesgos Laborales según DS594.;4;proveedor_seleccionado;Proveedor seleccionado;1;Primer llamado;2025-03-26 17:00;2025-03-27 17:14;2025-03-25 16:46;2025-03-26 17:00;2025-04-01 03:08;;Manuel Rodriguez N° 759;5;Estimado;CLP;150000;150000;150000;;;52450902;;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;0;4;0;;;;;;1;3;4
1057532-186-COT25;ADQUISICION DE INSUMOS PARA CAFETERIA.;ADQUISICION DE INSUMOS PARA CAFETERIA.;4;proveedor_seleccionado;Proveedor seleccionado;1;Primer llamado;2025-04-01 11:35;2025-04-02 11:38;2025-03-31 11:32;2025-04-01 11:35;2025-04-01 01:49;;A CONVENIR;1;Estimado;CLP;218500;218500;218500;;;52450057;;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;0;4;0;;;;;;2;12;4
