CodigoCompraAgil;Nombre;Descripcion;EstadoID;EstadoCodigo;EstadoGlosa;ConvocatoriaEstado;ConvocatoriaDescripcion;FechaCierrePrimerLlamado;FechaCierreSegundoLlamado;FechaPublicacion;FechaCierre;FechaUltimoCambio;FechaCancelacion;DireccionEntrega;PlazoEntregaDias;TipoPresupuesto;Moneda;PresupuestoEstimado;MontoDisponible;MontoDisponibleCLP;ValorCambioMoneda;FechaCambioMoneda;OC_ID;OC_Codigo;OrganismoComprador;RutComprador;UnidadCompra;Region;NombreRegion;MultaSancion;TotalOfertasRecibidas;TotalDemandas;MotivoCancelacion;MotivoDesierta;MotivoSeleccion;RequisitosMedioambientales;RequisitosImpactoSocial;TotalDocumentos;TotalProductosSolicitados;TotalProveedoresCotizando
1057922-183-COT25;F5-051-NAM /  TARIMA PLASTICA 120 X 80 CM;SE REQUIERE LA COMPRA DE TARIMA PLASTICA 120 X 80 CM  SEGUN EE.TT  1) Serán desestimadas las ofertas que no adjunten el Formularios Anexo Proveedor.  2) Adjuntar cotización detallada + imágenes de productos ofertados (archivo proveedor), según especificaciones técnicas adjuntadas  3) Debe indicar en días hábiles el plazo de envió, dado que se tomará como parte de evaluación de adjudicación;6;desierta;Desierta;2;Segundo llamado;2025-12-01 11:00;2025-12-04 06:08;2025-11-28 15:51;2025-12-04 06:08;2025-12-05 15:43;;Av. Manuel Rodriguez #759;5;Estimado;CLP;290000;290000;290000;;;;;SERVICIO DE SALUD OSORNO;61.607.600-0;Activos Fijos;10;Región de los Lagos ;0;1;0;;SIN OFERTAS QUE CUMPLAN LAS EETT;;False;False;3;1;1
1057922-186-COT25;F5-037-NAM / MALETIN TRANSPORTE DE MUESTRAS Y TERMOHIROMETRO;SE REQUIERE LA ADQUISICION MALETIN TRANSPORTE DE MUESTRAS Y TERMOHIROMETRO PARA CECOSF EL ENCANTO, SEGUN EETT.  1) Serán desestimadas las ofertas que no adjunten el Formularios 1.  2) Adjuntar cotización detallada + imágenes de productos ofertados (archivo proveedor), según especificaciones técnicas adjuntadas  3) Debe indicar en días hábiles el plazo de envió, dado que se tomará como parte de evaluación de adjudicación;6;desierta;Desierta;2;Segundo llamado;2025-12-03 08:00;2025-12-05 05:58;2025-12-01 10:01;2025-12-05 05:58;2025-12-05 15:42;;Manuel Rodriguez #759;5;Estimado;CLP;95000;95000;95000;;;;;SERVICIO DE SALUD OSORNO;61.607.600-0;Activos Fijos;10;Región de los Lagos ;1;0;0;;SIN OFERTAS;;False;False;4;2;0
1057532-901-COT25;F2-296-RVM-DEPARTAMENTO ATENCION PRIMARIA;"Adquisición de material didáctico para las Modalidades de estimulación y Servicio de pediatría. Serán declaradas inadmisibles las ofertas que no adjunten lo siguiente: -FORMULARIO Nº 1 “IDENTIFICACION DEL OFERENTE -Ficha Técnica/Catálogo/Folleto/imagen/descripción de productos, para revisión de cumplimiento de formulario N°2 ""Especificaciones Técnicas"" adjunto .";6;desierta;Desierta;2;Segundo llamado;2025-11-26 08:00;2025-11-28 15:30;2025-11-24 09:25;2025-11-28 15:30;2025-12-05 14:58;;Av. Manuel Rodriguez #759;5;Disponible;CLP;90000;90000;90000;;;;;SERVICIO DE SALUD OSORNO;61.607.600-0;Bienes y Servicios;10;Región de los Lagos ;1;0;0;;NO SE RECIBIERON OFERENTES ADMISIBLES;;False;False;2;1;0
1180747-71-COT25;F5-042-AAN/ADQUISICION EQUIPAMIENTO PARA PSR CHAN CHAN;Adquisición de equipos y equipamiento para habilitación de Posta Salud Rural Chan Chan, con brecha presupuestaria.;4;proveedor_seleccionado;Proveedor seleccionado;1;Primer llamado;2025-12-03 15:30;2025-12-05 16:32;2025-12-01 14:27;2025-12-03 15:30;2025-12-05 12:18;;AMADOR BARIENTOS #2360 (BASE SAMU), Osorno;5;Estimado;CLP;333000;333000;333000;;;53967942;;SERVICIO DE SALUD OSORNO;61.607.600-0;Compras Convenio GORE Region de Los Lagos;10;Región de los Lagos ;1;1;0;;;;False;False;5;3;1
1180747-65-COT25;F5-042-BMC-ADQUISICION KIT DE INMOVILIZACION PARA PSR CHAN-CHAN;Adquisición de equipos y equipamiento para habilitación de Posta Salud Rural Chan Chan, con brecha presupuestaria;6;desierta;Desierta;2;Segundo llamado;2025-11-19 15:00;2025-12-03 15:28;2025-11-17 10:55;2025-12-03 15:28;2025-12-05 12:14;;MANUEL RODRIGUEZ #759;5;Estimado;CLP;881000;881000;881000;;;;;SERVICIO DE SALUD OSORNO;61.607.600-0;Compras Convenio GORE Region de Los Lagos;10;Región de los Lagos ;1;1;0;;Proveedor no cotiza kit de inmovilización;;False;False;4;2;1
1180747-69-COT25;F5-042-AAN/ADQUISICION SET EVALUACION DESARROLLO PSICOMOTOR PARA HABILITACION PSR CHAN CHAN;Adquisición de equipos y equipamiento para habilitación de Posta Salud Rural Chan Chan, con brecha presupuestaria.;4;proveedor_seleccionado;Proveedor seleccionado;1;Primer llamado;2025-12-03 15:00;2025-12-05 17:25;2025-12-01 12:34;2025-12-03 15:00;2025-12-05 12:11;;Manuel Rodríguez N°759, Osorno.;5;Estimado;CLP;495000;495000;495000;;;53967800;;SERVICIO DE SALUD OSORNO;61.607.600-0;Compras Convenio GORE Region de Los Lagos;10;Región de los Lagos ;1;5;0;;;;False;False;3;1;5
1057922-192-COT25;F5-043-AAN/Adquisición telón con trípode para COSAM Rahue;Adquisición equipos TIC para apoyo de procesos administrativos y clínicos del nuevo COSAM Rahue.;5;cancelada;Cancelada;1;Primer llamado;2025-12-05 15:15;2025-12-06 15:18;2025-12-04 15:11;2025-12-05 15:15;2025-12-05 08:21;2025-12-05 08:21;Manuel Rodríguez N°759, Osorno;5;Disponible;CLP;1000000;1000000;1000000;;;;;SERVICIO DE SALUD OSORNO;61.607.600-0;Activos Fijos;10;Región de los Lagos ;1;4;0;Se publicará una nueva compra ágil por error en el monto y cantidad.;;;False;False;3;1;4
1057922-188-COT25;F5-037-VMA / MESA MAYO;Adquisición de equipos y equipamiento para habilitación de CECOSF El Encanto, comuna de Puyehue.;4;proveedor_seleccionado;Proveedor seleccionado;1;Primer llamado;2025-12-04 10:00;2025-12-06 10:09;2025-12-02 09:50;2025-12-04 10:00;2025-12-05 03:32;;Manuel Rodríguez #759;5;Estimado;CLP;420000;420000;420000;;;53970554;;SERVICIO DE SALUD OSORNO;61.607.600-0;Activos Fijos;10;Región de los Lagos ;0;13;0;;;;False;False;3;1;13
