CodigoCompraAgil;CodigoProducto;Nombre;Descripcion;Cantidad;UnidadMedida
1057532-346-COT25;43201549;Conmutadores de interfaz bus;SWITCH 5 PUERTOS / SEGÚN ESPECIFICACIONES ADJUNTAS;2;EA
1057532-346-COT25;43201803;Discos duros;DISCOS SSD / SEGÚN ESPECIFICACIONES ADJUNTAS;2;EA
1057532-333-COT25;51141704;Risperidona;Se requiere Risperidona 25mg inyectable, para pacientes COSAM RAHUE, vencimiento igual o superior a 12 meses y resolución sanitaria de distribución de medicamentos.;26;AMP
1057532-371-COT25;42251502;Productos de evaluación, ensayos sensoriales, perceptuales, de desteridad y cognitivos;1 Escala Wechsler de Inteligencia para Niños – Quinta Edición (Batería WISC-V)  segun eett;1;EA
1057532-354-COT25;51141704;Risperidona;Adq. Risperidona 25 MG en polvo para Suspensión Inyectable de Liberación prolongada, frasco, ampolla, para COSAM ORIENTE, vencimiento igual o superior a 12 meses y resolución sanitaria de distribución de medicamentos.;25;AMPF
1057532-361-COT25;24112404;Caja;12 CAJAS PLASTICAS CON TAPA TRANSPARENTE DE 4 LITROS.;12;BX
1057532-350-COT25;60141102;Juegos de mesa;1Similar a: Tarjetas de Actividades: Emociones y Sentimientos;1;EA
1057532-350-COT25;60141102;Juegos de mesa;1 Similar a: Juego: Sanando al niño Interno;1;EA
1057532-350-COT25;60141102;Juegos de mesa;1 Similar a: Cuerpos al Límite;1;EA
1057532-350-COT25;60141102;Juegos de mesa;1 Similar a: Naipes La Llave Maestra;1;EA
