CodigoCompraAgil;CodigoProducto;Nombre;Descripcion;Cantidad;UnidadMedida
1057532-302-COT25;44122011;Carpetas para archivos;carpetas de cartulina color azul, con elásticos, tamaño oficio.;300;EA
1057532-302-COT25;14111525;Papel multiuso;caja de 100 hojas de opalinas tamaño carta, color blanco 200 o 250 grs.;3;BX
1057532-302-COT25;14111531;Libros o cuadernos de registro;Cuaderno tamaño pequeño (18 x 13 cms) ecológico, 80 a 100 hojas cuadriculadas o lineal, con doble espiral y lápiz pasta azul o negro incorporado, con sujetador elástico.;300;EA
1057532-302-COT25;53121608;Bolsas para compras;olsas ecológicas, color azul o negro, 41x35x12, con 2 asas con logo de inmunizaciones. con estampado, se adjunta Diseño del logo;300;EA
1057532-299-COT25;41112213;Termómetros de mano;2 TERMOHIGRÓMETRO, SEGUN EETT;2;EA
1077241-30-COT25;14111610;Cartulina;20 Cartulinas colores primarios pliego ( azul, amarillo, rojo, verde);20;EA
1077241-30-COT25;14121503;Cartulina;20 Cartulina Metalizadas Pliego;20;EA
1077241-30-COT25;14111507;Papel para fotocopiadora o impresora;"12 Resma Papel Tamaño Carta tipo Equalit 500 Hojas""";12;RM
1077241-30-COT25;44121701;Lápiz pasta;5 Caja de lapices azules marca bic;5;BX
1077241-30-COT25;12352310;Siliconas;100 Barras de silicona unidades tipo artel;100;EA
1077241-30-COT25;60105704;Barras de pegamento libres de ácido;20 Barra de pegamento tipo marca stick-fix;20;EA
1077241-30-COT25;60121124;Papel kraft;50 papel kraft papel de pliego grande;50;EA
1077241-30-COT25;44121708;Marcadores;10	 Plumón Rojo tipo Artel pizarra 10	 Plumón Negro tipo Artel pizarra;20;EA
1077241-30-COT25;14111509;Artículos de papelería;100 unidades opalina 200g Hoja tamaño oficio 100U;100;EA
1057532-296-COT25;47121702;Envases para residuos o forros rígidos;"Contenedor Color ""negro"" de acuerdo a especificaciones técnicas adjuntas.";8;EA
1057532-296-COT25;47121702;Envases para residuos o forros rígidos;"Contenedor Color ""amarillo"" de acuerdo a especificaciones técnicas adjuntas.";3;EA
